id,studentId,jobId,status,createdAt,updatedAt
40000,10002,30053,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40001,10622,30053,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40002,10002,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40003,10149,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40004,10157,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40005,10169,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40006,10172,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40007,10175,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40008,10181,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40009,10182,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40010,10183,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40011,10214,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40012,10215,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40013,10218,30101,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40014,10074,30038,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40015,10221,30038,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40016,10080,30138,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40017,10095,30138,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40018,10125,30138,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40019,10090,30109,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40020,10091,30050,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40021,10135,30050,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40022,10174,30050,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40023,10100,30065,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40024,10116,30065,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40025,10166,30065,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40026,10104,30016,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40027,10108,30039,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40028,10113,30039,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40029,10114,30056,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40030,10129,30107,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40031,10195,30107,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40032,10131,30054,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
